#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
209,,06-18 19:17,91.5,사회,9,24,2,,,"투표용지 부족 진상규명위, 노태악 수사의뢰 권고 “선관위 총체적 부실”"
210,,06-18 17:17,93.5,경제,13,7,2,,,"정부, 6차 석유 최고가격 적용 기간 연장…“주말 중동전 상황 보고 조정 여부 판단”"
211,,06-18 17:17,93.5,국제,13,3,2,,,트럼프 행정부 종전 MOU 전문 공개
212,,06-18 17:17,93.5,경제,11,11,2,,,‘유가 담합’ 의혹 HD현대오일뱅크 임직원 1명 구속…“증거인멸 염려”
213,,06-18 17:17,93.5,경제,8,16,2,,,최저임금 업종별 구분 적용 무산…소공연 “소상공인 처지 외면”
214,,06-18 17:17,93.5,경제,6,1,2,,,영덕에 대형 원전 2기·부산 기장에 첫 소형모듈원자로 건설
215,,06-18 14:32,96.3,,7,3,1,,,서울 일부 등 수도권에 추가 폭염주의보…올여름 첫 발령
216,,06-18 14:17,96.5,경제,6,2,1,,,"SK하이닉스, HBM4E 샘플 공급...격화하는 HBM 전쟁"
217,,06-18 13:32,97.3,,9,2,2,,,"'특징주' 기사 쓰고 선행매매로 93억 챙겨…금감원, 회계사·기자 구속 송치"
218,,06-18 13:32,97.3,경제,6,7,2,,,"배민·쿠팡 자진 시정 신청... 공정위, 모두 기각 결정"
219,,06-18 13:32,97.3,,6,1,2,,,하반기 LNG·LPG 관세 0% 적용...AI로 라면·빵 등 가공식품 가격도 상시 모니터링
220,,06-18 13:32,97.3,경제,5,3,1,,,"금감원, 단일종목 레버리지 경보...“단기 차익 추구 유의해야”"
221,,06-18 13:17,97.5,사회,6,3,2,,,‘3차례 경고 무시’ 광주대표도서관 붕괴 책임자 11명 송치…공무원 4명 추가 입건
222,,06-18 12:17,98.5,경제,14,5,1,,,"금감원 ""삼전·닉스 레버리지 단기 급등락 주의""…소비자경보 발령"
223,,06-18 12:17,98.5,사회,6,1,2,,,상품권 업체로 위장해 캄보디아 피싱수익 35억원 세탁
224,,06-18 11:32,99.3,,12,16,1,,,"법원, 국회 불출석 '멋쟁해병' 송호종에 벌금 500만원 선고"
225,,06-18 11:32,99.3,사회,8,4,1,,,"경기남부경찰, 허위 법인 명의 대포통장 947개 유통 48명 검거"
226,,06-18 11:32,99.3,,7,1,0,,,[날씨] 올해 첫 폭염 특보…전국 곳곳 40mm까지 소나기
227,,06-18 11:17,99.5,경제,11,1,2,,,"SK하이닉스, 모든 채용서 ‘학력 제한’ 폐지"
228,,06-18 11:02,99.8,경제,5,4,0,,,"서울아산병원, 심장·신경·내분비 등 5개 분야 아태 1위"
229,,06-18 11:02,99.8,정치,5,1,2,,,민통선 평균 2㎞ 북상…‘여의도 250배 면적’ 규제 해제·완화한다
230,,06-18 10:47,100.0,,10,3,2,,,인천서 발견된 사람 다리… 경찰 “의료용 폐기물 가능성 높아”
231,,06-18 10:47,100.0,정치,5,1,2,,,"민통선, 북쪽 2㎞ 올려… ‘여의도 240배’ 보호구역 푼다"
232,,06-18 10:32,100.3,,5,5,2,,,"""오류발견""·""투표지 요청에 무답""…극심 혼란 담긴 잠실 투표록"
233,,06-18 10:32,100.3,정치,5,4,0,,,"진인프라, 창립 20주년 맞아 미래 비전 공유… “From Infra to AI, Next 20”"
234,,06-18 10:17,100.5,정치,11,3,1,,,정청래 “1인1표제로 당내 계파 소멸…악의적 갈라치기 말라”
235,,06-18 10:17,100.5,사회,7,2,0,,,한낮 33도 무더위 계속…곳곳 소나기[오늘날씨]
236,,06-18 10:17,100.5,경제,6,8,2,,,기자·회계사 짜고 친 ‘특징주’ 선행매매…93억원 챙겨
237,,06-18 10:17,100.5,,6,2,2,,,"서울시, MBC 상대 3억원 손해배상 소송 제기…“허위·왜곡 보도"""
238,,06-18 10:17,100.5,사회,5,6,2,,,"경찰, ’1104표 누락' 전북선관위 압수수색"
239,,06-18 10:17,100.5,,5,1,2,Y,,"[속보] 워시의 첫 FOMC, 성명서 간소화ㆍ포워드 가이던스 생략"
240,,06-18 10:02,100.8,경제,12,1,0,,,"SK하이닉스, 프리마켓서 1%대 강세…사상 최고가 경신"
241,,06-18 10:02,100.8,사회,10,1,2,,,"선거운동 중에 ‘음료 테러’, 자작극이었나…개혁신당 “우리도 피해자”"
242,,06-18 10:02,100.8,경제,6,1,0,,,"포스코, 전기로·희귀가스 공장 준공… 탈탄소·미래사업 박차"
243,,06-18 10:02,100.8,,5,2,0,,,2026년 06월 17일 11시뉴스
244,,06-18 09:47,101.0,국제,16,6,2,,,미ㆍ이란 14개항 MOU 보니...미국이 먼저 이란 원유수출 허용ㆍ동결자산 해제
245,,06-18 09:32,101.3,국제,12,1,2,,,"트럼프, 종전 MOU 서명... 19일 스위스 서명식 취소될 듯"
246,,06-18 09:32,101.3,사회,5,1,2,,,"구심점 없이 정치투쟁장 된 잠실 시위···경찰, ‘업무방해 수사’로 길 열까"
247,,06-18 09:17,101.5,경제,14,2,0,,,"대신證 “SK스퀘어, SK하이닉스 시총·추가 상승 전망 반영…목표가 187만원”"
248,,06-18 09:17,101.5,경제,11,4,0,,,"SK하이닉스, HBM4E 12단 샘플 고객사 공급… 차세대 AI 메모리 경쟁 본격화"
249,,06-18 09:17,101.5,경제,10,9,2,,,하반기 LNG·LPG 무관세… 석유 최고가격제 유지
250,,06-18 09:17,101.5,,7,1,0,,,"홍명보 감독 ""멕시코전 베스트11 구상 끝…불법 드론 유감"""
251,,06-18 09:17,101.5,,5,4,0,,,"삼성전자, AI 입힌 ‘갤럭시 A37 5G’ 19일 국내 출시... 출고가 59만8400원"
252,,06-18 09:03,101.8,,6,2,0,,,2026년 06월 17일 10시뉴스
253,,06-18 08:47,102.0,경제,10,2,1,,,"SK하이닉스, 모든 채용서 ‘학력 제한’ 폐지"
254,,06-18 08:33,102.3,국제,14,3,2,,,"“美, 이스라엘의 ‘종전MOU’ 열람 요구 거절”"
255,,06-18 08:33,102.3,정치,6,8,2,,,"노태악, 해외출장 3차례 다 ‘배우자 동반’…2인분 비용, 선관위 돈으로"
256,,06-18 08:33,102.3,,5,3,0,,,"이정후, ‘코리안 더비’서 시즌 4호포 폭발…김하성은 3타수 무안타"
257,,06-18 08:17,102.5,국제,6,4,2,,,"앤스로픽, 오픈AI 이어 서울 교두보… 글로벌 AI 격전지로 떠올라"
258,,06-18 08:02,102.8,정치,11,1,2,,,국민의힘 권영진 “선거 소청 끝나면 선거 소송?…장동혁이 당 수렁에 빠뜨려”
259,,06-18 08:02,102.8,국제,6,9,2,,,"미셸 스틸 주한美대사, 상원 인준 통과"
260,,06-18 07:48,103.0,국제,16,2,2,,,"“美, 호르무즈 통항 활성화 위해 ‘해군 VIP 호위’ 검토”"
261,,06-18 07:48,103.0,국제,14,3,2,,,"美, 이란 원유 제재 푼다…수출 허용하고 동결자산도 해제"
262,,06-18 07:48,103.0,정치,6,4,2,,,"여야, 오늘 본회의서 ‘투표용지 부족사태’ 국조계획서 처리"
263,,06-18 07:48,103.0,정치,6,5,1,,,"李대통령, 트럼프와 골프 약속…직접 쓰던 서명용 펜 선물받아"
264,,06-18 07:33,103.3,국제,14,1,2,,,"美, 이스라엘 ‘종전 MOU’ 공유요청 퇴짜…“정보유출 등 방해공작 우려”"
265,,06-18 07:17,103.5,경제,8,6,0,,,"대신證 “SK스퀘어, SK하이닉스 시총·추가 상승 전망 반영…목표가 187만원”"
266,,06-18 07:03,103.8,,6,3,0,,,2026년 06월 17일 9시뉴스
267,,06-18 06:48,104.0,정치,5,2,1,,,"포스코, 年 250만 t 규모 대형 전기로 공장 준공"
268,,06-18 06:48,104.0,사회,5,3,0,,,"""오늘도 더워요"" 일부 지역엔 5~40mm의 소나기 [뉴시스Pic]"
269,,06-18 06:48,104.0,,5,1,0,,,2026년 06월 17일 7시뉴스
270,,06-18 06:32,104.3,사회,5,31,0,,,[오늘의 날씨] 2026년 6월 20일
271,,06-18 06:03,104.8,사회,6,3,2,,,‘당원 가입 의혹’ 신천지 前간부 3명 전원 구속... 증거인멸·도망 염려
272,,06-18 05:17,105.5,정치,9,8,1,,,"국민의힘, 최고위서 지도부 사퇴 놓고 설전"
273,,06-18 05:17,105.5,경제,7,4,0,,,"효성중공업, 가산디지털단지에 30MW급 AI 데이터센터 오픈"
274,,06-18 04:48,106.0,국제,13,4,2,,,"“美, 이스라엘의 ‘종전MOU’ 열람 요구 퇴짜”"
275,,06-18 04:48,106.0,,7,3,0,,,'유효슈팅 0' 호날두 침묵한 포르투갈…콩고와 충격의 무승부
276,,06-18 04:48,106.0,,7,1,2,,,"‘국힘 보좌진 폭행 논란’ 확산... 서울청, 자체 사실관계 조사 나섰다"
277,,06-18 04:33,106.3,경제,7,1,2,,,"李대통령, G7서 AI 시대 과제로 '공유·안전' 제시…""AI 안전 확보 위한 협력 강화해야"""
278,,06-18 04:02,106.8,,7,5,1,,,비공개 훈련 중 나타난 '불법 드론'…도주한 남성 2명
279,,06-18 03:18,107.5,국제,11,10,2,,,트럼프는 금리 인하 원했는데…워시 첫 FOMC서 인상론 부상
280,,06-18 03:18,107.5,경제,8,11,2,,,신규 대형 원전은 경북 영덕... 첫 SMR은 부산 기장에 짓는다
281,,06-18 03:03,107.8,정치,14,4,2,,,"李, G7서 “중동처럼 北문제 해결 주도를”… 트럼프 “노력하겠다”"
282,,06-18 02:47,108.0,사회,10,5,2,,,"경찰, 개혁신당 정이한 부산시장 후보 ‘테러 자작극’ 의혹 수사"
283,,06-18 02:34,108.3,국제,13,6,2,,,미ㆍ이란 14개항 MOU 보니...미국이 먼저 이란 원유수출 허용ㆍ동결자산 해제
284,,06-18 01:47,109.0,국제,13,2,2,,,"""평화안 좋다"" 못 한 공화당…트럼프 이란 합의, 의회 표결론까지"
285,,06-18 01:47,109.0,정치,10,8,2,,,"국민의힘, 장동혁 참석하는 의총에서 장동혁 거취·선거 소청 논의"
286,,06-18 01:33,109.3,국제,12,10,2,,,트럼프 “가짜 뉴스”라더니… 동맹에 454조 재건 기금 떠넘기나
287,,06-18 01:33,109.3,정치,11,9,2,,,"경찰, 체육단체 출입 막은 ‘성조기 여성’ 수사 착수"
288,,06-18 01:33,109.3,,6,2,2,,Y,‘올공 시위’ 현장서 30대男 흉기 휘두르고 자해
289,,06-18 01:17,109.5,정치,5,1,2,,,"李대통령, 독일·캐나다 정상과 연쇄 회담...‘잠수함 수주’ 논의?"
290,,06-18 01:03,109.8,정치,5,5,2,,,"野, '탈모 건보 적용' 추진에 ""2030 겨냥한 매표성 정책"""
291,,06-18 00:47,110.0,경제,6,3,0,,,“탄소 배출 75% 줄여”… 국내 최대 전기로 가동
292,,06-18 00:47,110.0,정치,5,4,2,,,여야 “45일간 투표용지 국조” 합의… 위원장 국힘
293,,06-18 00:17,110.5,국제,14,6,2,,,"美, 종전 MOU 전문 공개…“호르무즈 60일간 통행료 없다”"
294,,06-18 00:17,110.5,경제,9,3,0,,,'학력제한 철폐' SK하이닉스 열린 채용 新인재상은?…최태원 강조 'AI 3대 근육' 보니
295,,06-18 00:17,110.5,경제,6,4,0,,,"원·달러 환율, 1.8원 오른 1513.4원 마감"
296,,06-18 00:03,110.8,정치,11,3,2,,,국힘 의총 “전면 재선거 주장 않기로... 선거소청은 7곳만”
297,,06-18 00:03,110.8,사회,9,8,1,,,[단독]주행 중 택시기사 폭행한 30대 남성…경찰서 주차장에서 현행범 체포
298,,06-17 23:17,111.5,국제,14,2,2,,,‘이스라엘의 레바논 철수’는 MOU서 빠졌다… 종전 최대 리스크로
299,,06-17 23:17,111.5,사회,9,4,2,,,"‘국힘 보좌진 폭행 논란’ 확산... 서울청, 자체 사실관계 조사 나섰다"
300,,06-17 23:02,111.8,정치,13,2,2,,,이긴 3곳도 재선거하자는 장동혁… 오세훈 “자리보전용 구호”
301,,06-17 22:32,112.3,사회,7,1,2,,,"경찰, 잠실개표소 진입 홀로 막은 '올다르크' 女 수사 착수(종합)"
302,,06-17 22:18,112.5,정치,13,2,2,,,李 “중동처럼 北문제 해결 주도해달라”... 트럼프 “노력하겠다”
303,,06-17 21:32,113.3,,14,5,2,,,"경찰, 정이한 전 부산시장 후보 ‘음료수 피습 사건’ 의혹 수사 중"
304,,06-17 21:32,113.3,,14,4,2,,,이긴 3곳도 재선거하자는 장동혁… 오세훈 “자리보전용 구호”
305,,06-17 21:32,113.3,정치,7,2,2,,,선관위 국정조사 45일간 열린다
306,,06-17 21:32,113.3,경제,6,10,1,,,"수출입은행, 두산 태국 반도체 소재 생산거점 구축 지원…AI 경쟁력 강화"
307,,06-17 21:17,113.5,정치,11,3,1,,,이 대통령 “아임 소 해피”…G7 정상들과 기념촬영·트럼프와 30초 대화도
308,,06-17 21:17,113.5,경제,5,2,1,,,"서학개미, 스페이스X 상장일 1조2000억 ‘폭풍 매수’"
309,,06-17 21:02,113.8,정치,11,3,1,,,"李, G7 정상회의 환영행사 참석…트럼프와 30초 대화"
310,,06-17 21:02,113.8,정치,9,2,1,,,"與 ""이 대통령 순방 성과 나타나…민주당도 한반도 평화 적극 뒷받침"""
311,,06-17 20:47,114.0,국제,15,8,2,,,“베선트는 일본은행 그림자 총재”···일본 금리 인상 배경에 ‘미국 압박’ 지목
312,,06-17 20:47,114.0,국제,6,3,2,,,"“美, 첨단AI 수출통제 뒤엔… 中연계 의심 韓통신사” 논란"
313,,06-17 20:47,114.0,정치,5,1,2,Y,,"[속보] 靑 ""트럼프, 한반도 문제 진전 위해 역할하겠단 의지 표명"""
314,,06-17 20:47,114.0,정치,5,8,2,,,민통선 평균 2㎞ 북상…적 기갑부대 막는 장애물 23개 철거
315,,06-17 19:32,115.3,국제,14,6,2,,,"“美, 이란 재건기금 3000억달러 조성 추진”"
316,,06-17 19:32,115.3,,12,15,2,,,"신규 대형 원전은 영덕, SMR 1호는 기장…진통 끝, 부지 선정 완료"
317,,06-17 19:17,115.5,정치,7,3,1,,,정청래 “친청파·친석파는 악의적 갈라치기…1인 1표제 시행으로 당내 계파 소멸”
318,,06-17 19:17,115.5,,5,2,2,,,"李대통령, G7 둘째날 공급망·에너지 논의...브라질 룰라와 대화도"
319,,06-17 19:17,115.5,,5,1,2,,,전국에 일본뇌염 경보 발령... 평년보다 한 달 이상 앞당겨져
320,,06-17 19:03,115.8,정치,13,2,1,,,이긴 3곳도 재선거하자는 장동혁… 오세훈 “자리보전용 구호”
321,,06-17 18:47,116.0,정치,5,4,1,,,“오세훈 탐욕” “한동훈 타도”... 국힘 외신대변인 왜 이럴까요
322,,06-17 18:17,116.5,정치,11,4,2,,,"李, 佛 G7정상회의서 ‘개발 협력-AI비전’ 제시"
323,,06-17 18:17,116.5,경제,5,2,1,,,"한은 “삼성·SK 등 IT 기업 성과급, 명목임금 1.3%포인트 끌어올려”"
324,,06-17 18:03,116.8,정치,14,7,2,,,"민주당, 국힘 '재선거 소청'에…""묻지마 소청, 음모론 백화점"""
325,,06-17 18:03,116.8,,10,9,0,,,[서울데이터랩]미국 뉴욕증시 3대 지수 일제히 하락 마감…기술주 약세 속 반도체주는 차별화
326,,06-17 18:03,116.8,사회,7,17,0,,,전국 대부분 소나기…낮 최고 32도 무더위 지속
327,,06-17 17:47,117.0,사회,3,1,2,,Y,‘서해 피격 은폐’ 서훈-김홍희 2심도 무죄
328,,06-17 17:17,117.5,,11,5,2,,,"전쟁은 미국이, 뒤처리는 남들이?…450조 이란 재건기금 논란"
329,,06-17 17:17,117.5,정치,7,7,2,,,"전국 대학 총학생회, ‘투표용지 부족 사태’ 선관위 항의 방문… 진상규명·재발방지 대책 요구"
330,,06-17 17:17,117.5,,5,3,1,,,"홍명보호 비공개 훈련 중 발칵…""남성 2명 도주"" 무슨 일"
331,,06-17 17:03,117.8,정치,8,2,2,,,여야 “45일간 투표용지 국조” 합의… 위원장 국힘
332,,06-17 16:47,118.0,정치,14,11,2,,,"李, 트럼프에 “중동전 해결했듯 北문제 평화적 해결 주도를”"
333,,06-17 16:47,118.0,정치,13,2,2,,,이긴 3곳도 재선거하자는 장동혁… 오세훈 “자리보전용 구호”
334,,06-17 16:47,118.0,정치,11,17,2,,,결심공판 출석한 오세훈 “하명 수사 통한 최악의 선거용 기소”
335,,06-17 16:47,118.0,정치,11,1,2,,,"여야, ‘투표용지 국조’ 합의…국힘 특위 위원장 맡아"
336,,06-17 16:47,118.0,,9,12,1,,,"집회 참가자 1명 저지에… 체육단체들, 잠실 사무실 진입 무산"
337,,06-17 16:32,118.3,,7,4,2,,,"경찰, 개혁신당 정이한 부산시장 후보 ‘테러 자작극’ 의혹 수사"
338,,06-17 16:32,118.3,,6,5,2,,,"체외충격파 치료, 연 12회 넘으면 실손보험 안된다"
339,,06-17 16:17,118.5,사회,16,2,2,Y,,"[속보] 특검, '여론조사비 대납 의혹' 오세훈에 징역 1년6개월 구형"
340,,06-17 16:17,118.5,정치,13,22,1,,,"靑 “이 대통령 내일 귀국… 김민석·정청래 환영행사 참석"""
341,,06-17 16:17,118.5,정치,5,2,2,,,"李대통령, 독일·캐나다 정상과 연쇄 회담...‘잠수함 수주’ 논의?"
342,,06-17 16:02,118.8,정치,10,8,2,,,"李대통령,G7 환영식 참석... 트럼프와 30초 대화 나눴다"
343,,06-17 16:02,118.8,정치,7,2,2,,,‘투표지 부족 사태’ 헌법소원 첫 각하... 헌재 “자기관련성 없어”
344,,06-17 16:02,118.8,사회,6,2,0,,,"K-MidSouth Nexus, 제1기 한국 기업 텍사스 산업시찰단 성료…한국 기업 미국 남부 진출 지원"
345,,06-17 16:02,118.8,정치,5,1,2,,,李대통령 캐나다 총리와 회담…60조 잠수함 프로젝트 논의 가능성
346,,06-17 15:47,119.0,경제,7,5,1,,,SK하이닉스 4년제 졸업장 안 본다…이례적 세 자릿수 수시채용
347,,06-17 15:47,119.0,,6,5,1,,,"삼성전자, ‘AI 대전환’ 속도…DX부문 체질 개선 나선다"
348,,06-17 15:47,119.0,,5,1,2,Y,,"[속보] 법원 ""헌재 재판지연 심사 개시""…의견요청서 발송"
349,,06-17 15:32,119.3,정치,11,2,2,,,여야 선관위 국조특위 처리 합의했지만…길어지는 ‘올공 시위’ [투데이 여의도 스케치]
350,,06-17 15:32,119.3,,9,3,1,,,"靑 “이 대통령 내일 귀국… 김민석·정청래 환송행사 참석"""
351,,06-17 15:32,119.3,정치,8,1,1,,,"시위자 1명이 문앞 저지…체육단체, 野중재에도 진입 못했다"
352,,06-17 15:32,119.3,사회,6,6,2,,,탈모 건보 추진에… “생명 걸린 중증·희귀질환이 우선”
353,,06-17 15:17,119.5,사회,8,8,2,,,‘당원 가입 의혹’ 신천지 前간부 3명 전원 구속... 증거인멸·도망 염려
354,,06-17 15:17,119.5,경제,7,1,1,,,"SK하이닉스, 학위보다 실력 본다… 신입 채용 학력 자격요건 삭제"
355,,06-17 15:17,119.5,경제,5,5,0,,,"효성, 서울 도심에 30MW 규모 AI 데이터센터 문 열어"
356,,06-17 15:03,119.8,정치,12,2,2,,,李대통령 제네바 도착…오늘 프랑스 에비앙 G7 정상회의 참석
357,,06-17 15:03,119.8,정치,9,2,1,,,"정청래 '친청·친석' 계파론 반박…""민주당은 모두 친명"""
358,,06-17 15:03,119.8,경제,7,1,1,,,"SK하이닉스, 신입채용에 '학력제한' 전면폐지…최태원 'AI시대 인재론' 반영"
359,,06-17 15:03,119.8,사회,6,2,1,,,송파구 선관위원들 “투표 용지 부족 사태 설명 못 들었다”
360,,06-17 15:03,119.8,경제,6,1,0,,,"[특징주] SK스퀘어, SK하이닉스 주주환원 기대감에…사상 최고가"
361,,06-17 15:03,119.8,,5,1,0,,,"‘해트트릭’ 메시, 월드컵 최다골 타이…아르헨, 알제리에 완승"
362,,06-17 15:03,119.8,,5,2,0,,,2026년 06월 16일 16시뉴스
363,,06-17 14:47,120.0,정치,10,2,2,,,‘투표용지 국조’ 위원장 국힘이 맡는다…45일간 조사
364,,06-17 14:47,120.0,,7,2,0,,,"포스코, 국내 최대 전기로 가동 … 반도체 희귀가스 공장도 운영"
365,,06-17 14:47,120.0,경제,7,1,0,,,美 증시 혼조세 마감에…코스피 1%대 하락 출발
366,,06-17 14:47,120.0,,6,2,2,,,전국에 일본뇌염 경보 발령... 평년보다 한 달 이상 앞당겨져
367,,06-17 14:33,120.3,경제,6,12,2,,,한은 “하반기 소비자물가 상승률 3% 내외 전망”
368,,06-17 14:33,120.3,정치,5,1,2,,,"국민의힘, 선관위 ‘몰디브 외유성 출장’ 합수본에 고발"
369,,06-17 14:17,120.5,정치,13,4,2,,,이긴 3곳도 재선거하자는 장동혁… 오세훈 “자리보전용 구호”
370,,06-17 14:17,120.5,사회,8,5,2,,,"경찰, ‘탱크데이 논란’ 신세계 관계자 첫 조사…자체 감사 내용 확인"
371,,06-17 14:17,120.5,,5,1,3,,,미 B-52 폭격기 이륙후 추락...탑승자 8명 모두 사망한 듯
372,,06-17 14:02,120.8,,7,1,0,,,음바페 멀티골…‘월드컵 역대 최다 득점자’ 3골 남았다
373,,06-17 14:02,120.8,사회,6,7,1,,,“가석방 도와줄게” 3000만원 챙긴 전남 교도관 구속영장 신청
374,,06-17 14:02,120.8,,5,1,1,,,"법원, 회생 신청 중앙그룹 5개사 대표자 심문 기일 23일 지정"
375,,06-17 13:32,121.3,국제,5,4,2,,,앤스로픽 AI 모델 외국인 사용 금지...떨고 있는 실리콘밸리
376,,06-17 13:03,121.8,국제,11,5,2,,,"“美, 이란 재건기금 3000억달러 조성 추진”"
377,,06-17 13:03,121.8,경제,7,10,0,Y,,"[속보]코스피,1.20% 내린 8622.13 출발"
378,,06-17 13:03,121.8,국제,7,2,2,,,일본 기준금리 0.75%에서 1%로 올려…31년 만에 최고 수준
379,,06-17 13:03,121.8,,6,1,1,,,"법원, 회생 신청 중앙그룹 5개사 대표자 심문 기일 23일 지정"
380,,06-17 13:03,121.8,,5,1,0,,,"FOMC 앞두고 관망세…코스피, 개인 매수세에 8700선 회복"
381,,06-17 12:48,122.0,국제,7,3,2,,,"이란 “호르무즈, ‘통행료’ 아닌 ‘수수료’ 부과될 것”"
382,,06-17 12:48,122.0,국제,7,1,2,,,"일본은행, 기준금리 1%로 0.25%p 인상…31년 만에 최고"
383,,06-17 12:48,122.0,,6,5,2,,,"“성균관대서 흉기 난동” 예고글…경찰, 작성자 추적 중"
384,,06-17 12:32,122.3,사회,6,9,2,,,대검 감찰부장 “공소청법 시행시 강제로 해임”… 헌법소원
385,,06-17 12:32,122.3,국제,5,2,2,,,‘이스라엘의 레바논 철수’는 MOU서 빠졌다… 종전 최대 리스크로
386,,06-17 12:17,122.5,사회,14,8,3,Y,Y,"[속보]특검, 오세훈에 징역 1년6개월 구형…여론조사비 대납 혐의"
387,,06-17 12:17,122.5,국제,7,1,2,,,‘이스라엘의 레바논 철수’는 MOU서 빠졌다… 종전 최대 리스크로
388,,06-17 12:17,122.5,국제,7,1,2,,,"일본은행, 기준금리 1%로 0.25%p 인상…31년 만에 최고"
389,,06-17 12:17,122.5,,6,4,1,,,"경찰, 스타벅스 ‘탱크데이’ 논란 신세계 감사팀장 참고인 조사"
390,,06-17 12:17,122.5,,6,8,2,,,"""美, 호르무즈 해협 통항 가속화 위해… 유료 '해군 VIP 호위' 추진"""
391,,06-17 12:17,122.5,경제,5,4,1,,,"국가데이터처, AI 기반 데이터 혁신인재 양성 나선다"
392,,06-17 12:17,122.5,경제,5,4,1,,,"불법하도급 신고땐, 과징금의 30% 포상금으로"
393,,06-17 12:02,122.8,국제,11,4,2,,,"미·이란 새 합의, JCPOA보다 강력하다더니...알려진 건 1장 반짜리 MOU"
394,,06-17 12:02,122.8,,7,3,0,,,"39세 메시, 월드컵 첫 해트트릭"
395,,06-17 11:47,123.0,,9,2,3,,,미 트럼프·밴스-이란 갈리바프 종전안 전자서명
396,,06-17 11:47,123.0,국제,7,1,2,,,‘이스라엘의 레바논 철수’는 MOU서 빠졌다… 종전 최대 리스크로
397,,06-17 11:47,123.0,경제,7,3,0,,,美 반도체주 훈풍에 삼전 2%·SK닉스 4%↑…SK스퀘어 '신고가'[핫스탁](종합)
398,,06-17 11:27,123.4,정치,14,4,2,,,"오세훈, 국민의힘 재선거 소청에 “정략적 이용” 비판"
399,,06-17 11:27,123.4,,9,4,0,,,음바페·홀란드 이어 메시도 터졌다…역대 최다 득점 2골 차 추격
400,,06-17 11:27,123.4,정치,9,1,2,,,"中 ""호르무즈해협 조속 정상화 기대""…美·이란 종전 합의 환영"
401,,06-17 11:27,123.4,경제,6,2,1,,,"삼성전자·SK하이닉스, 프리마켓서 약세…美 반도체 급락 영향"
402,,06-17 11:17,123.5,경제,6,1,0,,,"SK證 “SK스퀘어, 목표가 185만원…하이닉스 주주환원 확대 기대감”"
403,,06-17 11:17,123.5,경제,5,1,2,,,인터넷은행 3사도 ‘빚투’ 차단 나선다… 신용대출 한도 줄이고 ‘마통’ 판매중단
404,,06-17 11:04,123.8,정치,13,10,1,,,‘올공 봉쇄’ 11일만에 일시 해제…野 중재로 체육단체 진입 합의
405,,06-17 11:04,123.8,정치,12,2,2,,,"장동혁, TK 빼놓고 “서울 등 재선거”… 오세훈 “張 자리보전용”"
406,,06-17 11:04,123.8,정치,10,13,2,,,민통선 평균 2㎞ 북상…‘여의도 250배 면적’ 규제 해제·완화한다
407,,06-17 11:04,123.8,정치,9,6,2,,,"여야 ‘선관위 국정조사’ 합의... 45일간 진행, 위원장은 국힘"
408,,06-17 11:04,123.8,경제,8,7,0,,,[올댓차이나] 중국 증시 혼조 마감…상하이지수 0.11%↓
409,,06-17 11:04,123.8,정치,6,11,1,,,"국힘 장동혁 체제의 운명, 신동욱·김재원에 달렸다"
410,,06-17 10:47,124.0,정치,11,1,2,,,‘올공 봉쇄’ 11일만에 일시 해제…野 중재로 체육단체 진입 합의
411,,06-17 10:47,124.0,국제,9,2,2,,,"“美, 이란 재건기금 3000억달러 조성 추진”"
412,,06-17 10:47,124.0,정치,8,1,2,,,"여야 “45일간 선관위 국조, 위원장 국힘”…18일 본회의 처리"
413,,06-17 10:33,124.3,경제,5,1,2,,,"한화, KAI 지분 총 9.04% 확보 2대 주주로… “연말까지 12%”"
414,,06-17 10:33,124.3,정치,5,2,2,,,"金총리, 참정권 집회 비판 “무슨 권리로 정당한 통행을 막느냐”"
415,,06-17 10:17,124.5,경제,9,2,1,,,"SK하이닉스, 학위보다 실력 본다… 신입 채용 학력 자격요건 삭제"
416,,06-17 10:17,124.5,사회,6,1,1,,,"법원, 회생 신청 중앙그룹 5개사 대표자 심문 기일 23일 지정"
417,,06-17 10:17,124.5,,5,4,2,,,‘투표지 부족 사태’ 헌법소원 첫 각하... 헌재 “자기관련성 없어”
418,,06-17 10:17,124.5,정치,5,7,1,,,정청래 “친청파·친석파는 악의적 갈라치기…1인 1표제 시행으로 당내 계파 소멸”
419,,06-17 10:17,124.5,경제,5,3,1,,,조현준 효성 회장 “AI 데이터센터 사업에 그룹 핵심 역량 집중”
420,,06-17 10:17,124.5,경제,5,5,2,,,"스페이스X, AI코딩 기업 ‘커서’ 90조원에 인수… 시총 아마존 제치고 5위"
421,,06-17 10:17,124.5,경제,5,1,2,,,"한화, KAI 지분 총 9.04% 확보 2대 주주로… “연말까지 12%”"
422,,06-17 10:02,124.8,정치,14,2,2,,,"나경원, 경찰 잠실 강제 진입 시도에 “국가폭력…범죄 은폐 시도” 강력 규탄"
423,,06-17 10:02,124.8,,6,3,0,,,"대한전선, 1463억원 규모 동해안-동서울 HVDC 사업 수주"
424,,06-17 09:47,125.0,국제,11,2,2,,,"“트럼프, 韓·日·유럽 기업에서 3000억달러 걷어 이란 재건”"
425,,06-17 09:47,125.0,경제,8,3,0,,,[마켓라이브] 반도체 급락 여파에 코스피 하락 출발… 조선·철강·보험 업종은 강세 [장 초반 시황]
