#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
47,,06-22 03:02,11.8,국제,15,4,2,,,"트럼프 “美, 이란과 최종 합의 불발되면 호르무즈 통행료 부과할 수도”"
48,,06-22 01:18,13.5,국제,16,3,3,,,"스위스 “美·이란 종전 MOU 협상, 21일 오전 중 시작”"
49,,06-22 00:32,14.3,국제,16,5,3,Y,,"[속보] '종전 합의' 몇 시간 만에 이스라엘, 레바논 재공습으로 최소 5명 사망"
50,,06-22 00:18,14.5,국제,15,1,2,,,이란 ‘호르무즈 재봉쇄’ 선언에… 미군 “합의 이행되게 경계 유지”
51,,06-22 00:03,14.8,국제,15,1,2,,,이란 외무부 “협상단 곧 스위스行…미국에 약속 이행 요구할 것”
52,,06-21 23:33,15.3,국제,16,2,2,,,"밴스 美부통령 “미·이란 대면협상, 이르면 21일 스위스서 개최”"
53,,06-21 23:02,15.8,국제,15,2,2,,,"밴스 美부통령 “미·이란 대면협상, 이르면 21일 스위스서 개최”"
54,,06-21 22:48,16.0,국제,16,1,3,,,"이란군 “호르무즈 다시 봉쇄… 美·이스라엘 종전 합의 위반"""
55,,06-21 22:32,16.3,국제,17,1,2,,,"“이란, 호르무즈 통항 선박에 ‘향후 보험 수수료’ 시사”"
56,,06-21 21:32,17.3,국제,17,2,3,Y,,"[속보]이란 ""호르무즈 해협 차단…레바논 휴전 위반 대응"""
57,,06-21 20:32,18.3,경제,6,7,0,,,"모아이스, LG스포츠와 AI 기반 스포츠 동작 분석 협력 확대"
58,,06-21 20:17,18.5,국제,5,2,0,,,"A 175-Year-Old Shipwreck, Lots of Booze and a Korean Island’s Quest to Survive"
59,,06-21 20:03,18.8,국제,17,3,3,,,이스라엘엔 아무 의미 없는 ‘휴전 합의’···또 레바논 남부 때려 5명 사망
60,,06-21 19:03,19.8,국제,5,2,2,,,Israeli attack kills famed turtle sanctuary ecologist in Lebanon
61,,06-21 18:03,20.8,경제,14,7,2,,,"국제유가 30% 내렸지만, 국내 기름값 여전히 2000원대"
62,,06-21 17:33,21.3,국제,17,8,3,,,"이스라엘, 휴전 발효 몇시간만에 또 레바논 남부 공격…최소 5명 사망"
63,,06-21 16:47,22.0,경제,10,22,1,,,"‘모두의 창업’ 5000명 정보 유출, 사업 참여 AI업체가 빼냈나"
64,,06-21 16:33,22.3,국제,15,3,3,,,"이스라엘, 휴전 발효 몇시간만에 또 레바논 남부 공격…최소 5명 사망"
65,,06-21 16:17,22.5,,5,12,2,,,쯔양 협박해 2300만원 뜯어낸 변호사…법원 “7300만원 배상하라”
66,,06-21 16:03,22.8,국제,15,2,2,,,"위트코프 美특사, 스위스로 출발…아라그치 이란 외무도 스위스 방문 계획"
67,,06-21 15:48,23.0,국제,14,1,3,,,"이스라엘, 휴전 하루도 안 지나서… 또 레바논 폭격해 5명 사망"
68,,06-21 15:48,23.0,국제,5,7,2,,,10년새 6번째 총리 갈리나... 英 스타머 이르면 오늘 사임
69,,06-21 15:18,23.5,정치,6,26,2,,,全大 신경전… 정청래 “당정청 원팀” 김민석 “이기는 민주당으로”
70,,06-21 15:03,23.8,사회,6,22,2,,,"70대 운전 차량, 행인 2명 치고 오토바이 3대 쾅…1명 사망"
71,,06-21 14:32,24.3,정치,9,2,2,,,‘文정부 수사’ 한찬식 발탁에… 與지지층 일부 반발
72,,06-21 13:47,25.0,경제,8,2,1,,,"'아파트 전세난'이라더니…서울 아파트 전월세 매물, 최근 오히려 증가세"
73,,06-21 13:17,25.5,,10,11,2,,,김용범 정책실장 “부동산 과세 정상화”… 野 “증세 본색”
74,,06-21 12:33,26.3,국제,10,5,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
75,,06-21 12:03,26.8,경제,5,22,0,,,年 최고 19% 이자 효과 청년미래적금 오늘 출시
76,,06-21 11:32,27.3,,6,4,2,,,"혁신당, 與에 ""국정운영 원팀 플랫폼 구성하자…합당은 선택"""
77,,06-21 11:17,27.5,,14,1,2,,,"9조원대 이란 동결 자금 먼저 해제 되나...“美, 카타르와 협의”"
78,,06-21 11:03,27.8,국제,15,1,2,,,"위트코프 美특사, 스위스로 출발…아라그치 이란 외무도 스위스 방문 계획"
79,,06-21 11:03,27.8,,8,7,2,,,양육비 못 받고 있는 보호자 절반은 취약계층
80,,06-21 10:32,28.3,,7,3,2,,,임광현 “등록임대아파트 매도기회 주면 서울 6만8000호 공급효과”
81,,06-21 10:17,28.5,경제,5,13,2,,,與 “보유세·양도세 조정은 정부의 당연한 책무”…김용범 옹호
82,,06-21 10:02,28.8,경제,6,12,0,,,LG전자 ‘국내 최대 용량’ AI 세탁건조기 선봬
83,,06-21 09:03,29.8,경제,6,10,0,,,LG엔솔 특허 출원 10만건 넘어…“세계 배터리 기업 최초”
